review_id,product_category,product_name,review_text,rating,review_date,verified_purchase,helpful_votes
REV01772,Electronics,Smartwatch,really disappointed with this purchase. the stitching came apart almost immediately. 💔,2.0,2024-10-02,True,1
REV00778,Fashion,Leather Wallet,"Average quality for the price. It does what it says, just don't expect much extra.",3.0,2024-01-14,True,0
REV00967,Home & Kitchen,Electric Kettle,This  is exactly what I needed. The build quality feels premium and sturdy. 🔥,4.0,2024-09-11,True,2
REV01237,Home & Kitchen,Bedsheet Set,Absolutely loved this product! The color and finish look great in person. 😊,5.0,2025-10-08,True,3
REV01446,Books & Media,Self-Help Book,"Works  like a charm. Delivery was super fast, arrived a day early.",4.0,2024-06-25,True,3
REV00195,Books & Media,Biography,Best purchase I've made this year. Customer service was quick to respond when I had a question. ❤️,5.0,2024-03-19,True,4
REV00932,Fashion,Denim Jacket,"Does the job but nothing extraordinary. It does what it says, just don't expect much extra. 🤷",3.0,2025-07-26,False,2
REV00116,Beauty & Personal Care,Hair Dryer,Best purchase I've made this year. Customer service was quick to respond when I had a question.,5.0,2024-08-31,False,2
REV01052,Electronics,Bluetooth Speaker,I want a refund immediately. The size was completely different from what was described. 👎,2.0,2024-06-25,False,3
REV00600,Home & Kitchen,Electric Kettle,"Best purchase I've made this year. Delivery was super fast, arrived a day early. 👍",5.0,2025-06-01,True,0
REV00140,Sports & Outdoors,Camping Tent,Couldn't be happier with this purchase. The build quality feels premium and sturdy. 😊 although it took longer to arrive than promised.   ,5.0,2025-10-04,True,4
REV01092,Beauty & Personal Care,Electric Trimmer,I regret buying this. There was a strange smell straight out of the box. 😡 www.shopreview-site.com/r/12345,,2025-02-15,True,1
REV00579,Electronics,USB-C Hub,THIS WAS A COMPLETE WASTE OF TIME. THERE WAS A STRANGE SMELL STRAIGHT OUT OF THE BOX. 😡,2.0,2025-02-12,True,6
REV01746,Fashion,Leather Wallet,Not worth the money at all. It stopped working after just one week. 😢,1.0,2024-05-08,True,2
REV00558,Home & Kitchen,Bedsheet Set,Exceeded my expectations. Battery life lasts way longer than advertised. ✨,4.0,2025-01-11,False,2
REV00316,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. The color and finish look great in person. ✨",5.0,2024-03-17,True,6
REV00576,Books & Media,Kids Story Set,Highly recommend this to everyone. The color and finish look great in person.,5.0,2024-03-19,True,5
REV01244,Electronics,Bluetooth Speaker,"Five stars, no doubt. Battery life lasts way longer than advertised. 😊",4.0,2025-07-17,True,5
REV01204,Electronics,Power Bank,Exceeded my expectations. Battery life lasts way longer than advertised. ❤️,4.0,2024-10-03,True,0
REV01418,Books & Media,Kids Story Set,I'm so impressed with the quality. The color and finish look great in person. 😊,4.0,2025-03-31,True,7
REV00150,Sports & Outdoors,Cycling Helmet,&amp;Highly recommend this to everyone. The color and finish look great in person. ✨,4.0,2024-05-31,False,0
REV00465,Electronics,USB-C Hub,   ,5.0,2024-08-29,True,0
REV00587,Books & Media,Self-Help Book,&amp;This is exactly what I needed. It's comfortable and fits perfectly. 😊 although the price is a bit high for what you get.,5.0,2025-05-13,True,0
REV00400,Home & Kitchen,Electric Kettle,Exceeded my expectations. The color and finish look great in person. 🔥,5.0,2025-12-07,True,7
REV00632,Books & Media,Fiction Novel,I'm so impressed with the quality. My family loves it just as much as I do. ❤️ but I wish it came in more color options.,4.0,2025-02-09,True,1
REV00418,Fashion,Backpack,Absolutely loved this product! Battery life lasts way longer than advertised. 😊,4.0,2025-01-31,True,1
REV00005,Home & Kitchen,Air Fryer,"I'm so impressed with the quality. Delivery was super fast, arrived a day early. 🔥",4.0,2025-11-30,True,3
REV01704,Home & Kitchen,Air Fryer,Best purchase I've made this year. The packaging was neat and nothing was damaged. 👍 even though customer service was slow to respond.,5.0,2024-08-20,True,18
REV00617,Books & Media,Biography,"Not bad, but not great either. Shipping took the standard amount of time. 🙂",3.0,2024-05-06,True,0
REV00910,Electronics,Power Bank,Exceeded my expectations. It's comfortable and fits perfectly. ❤️,4.0,2024-09-08,True,1
REV01367,Fashion,Running Shoes,I want a refund immediately. It stopped working after just one week. 👎,1.0,2024-01-30,True,9
REV01172,Home & Kitchen,Vacuum Cleaner,Really disappointed with this purchase. The instructions were confusing and unclear. 😡 https://bit.ly/3xample,1.0,2024-08-18,True,1
REV01684,Electronics,Laptop Stand,</p>Best purchase I've made this year. It's comfortable and fits perfectly. 😊,4.0,2024-08-18,True,0
REV01264,Sports & Outdoors,Cycling Helmet,"Does the job but nothing extraordinary. Packaging was standard, nothing memorable.",3.0,2024-05-01,True,9
REV00016,Fashion,Leather Wallet,This  is exactly what I needed. It looks even better than the pictures online. 😊 but I wish it came in more color options.,4.0,2025-10-23,True,0
REV01627,Books & Media,Self-Help Book,Works like a charm. Battery life lasts way longer than advertised. 🔥,,2024-02-18,True,0
REV01379,Books & Media,Kids Story Set,I'm  so impressed with the quality. The build quality feels premium and sturdy. ✨,4.0,2025-05-26,True,6
REV01595,Beauty & Personal Care,Hair Dryer,Highly recommend this to everyone. Customer service was quick to respond when I had a question. 🔥,5.0,2025-03-04,True,4
REV00732,Beauty & Personal Care,Moisturizer Cream,"Very frustrating experience overall. Customer support never replied to my emails. 😢 On the plus side, it did arrive quickly.",2.0,2024-02-24,False,3
REV00442,Fashion,Running Shoes,This  broke within a few days of use. Customer support never replied to my emails. 👎,1.0,2025-12-04,False,0
REV00247,Fashion,Cotton T-Shirt,"<p>Not bad, but not great either. I might consider other brands next time. 🙂",3.0,2024-03-30,True,0
REV01286,Books & Media,Comic Collection,Highly recommend this to everyone. The packaging was neat and nothing was damaged. ❤️,4.0,2025-06-25,True,7
REV00087,Home & Kitchen,Non-Stick Pan Set,Fantastic value for the price. My family loves it just as much as I do. 👍,4.0,2025-02-11,True,0
REV01718,Electronics,Wireless Earbuds,Exceeded my expectations. The color and finish look great in person. 🔥,5.0,2025-03-15,True,1
REV01352,Sports & Outdoors,Yoga Mat,</p>Would not recommend this to anyone. The instructions were confusing and unclear. 💔,2.0,2024-10-17,False,0
REV01007,Books & Media,Fiction Novel,&amp;I'm so impressed with the quality. Setup was simple and took less than five minutes. ❤️,5.0,2024-08-08,True,0
REV00118,Beauty & Personal Care,Electric Trimmer,"It works as described, no complaints, no excitement. It does what it says, just don't expect much extra.",3.0,2024-02-23,True,3
REV00177,Home & Kitchen,Air Fryer,Works like a charm. It looks even better than the pictures online. 😊,5.0,2025-11-18,True,0
REV00127,Sports & Outdoors,Cycling Helmet,works like a charm. my family loves it just as much as i do. ❤️ but the delivery experience could definitely be better.,,2025-03-23,False,1
REV00850,Electronics,Bluetooth Speaker,Highly recommend this to everyone. The color and finish look great in person. ❤️,5.0,2024-09-13,True,2
REV00209,Fashion,Cotton T-Shirt,Does the job but nothing extraordinary. It's a bit bulkier than I expected. 🤷,3.0,2025-08-11,True,1
REV00726,Fashion,Sunglasses,"Five stars, no doubt. Setup was simple and took less than five minutes. 👍",4.0,2025-04-12,True,2
REV01356,Books & Media,Cookbook,Works like a charm. Battery life lasts way longer than advertised.,5.0,2024-11-20,True,2
REV00121,Fashion,Denim Jacket,,5.0,2024-09-19,True,9
REV01488,Fashion,Cotton T-Shirt,couldn't  be happier with this purchase. setup was simple and took less than five minutes. 🔥 www.shopreview-site.com/r/12345,4.0,2024-07-14,False,0
REV01320,Sports & Outdoors,Dumbbell Set,Couldn't be happier with this purchase. My family loves it just as much as I do.   ,5.0,2025-05-22,True,3
REV00601,Home & Kitchen,Electric Kettle,This is exactly what I needed. Battery life lasts way longer than advertised.,5.0,2025-02-27,False,0
REV01754,Sports & Outdoors,Dumbbell Set,Best  purchase I've made this year. The build quality feels premium and sturdy. 👍,5.0,2024-09-29,True,1
REV00719,Beauty & Personal Care,Lip Balm Set,Does  the job but nothing extraordinary. I might consider other brands next time.,3.0,2024-05-04,True,3
REV01012,Fashion,Denim Jacket,"Five stars, no doubt. My family loves it just as much as I do. 👍",5.0,2024-01-24,True,0
REV00119,Home & Kitchen,Blender,"Does the job but nothing extraordinary. It does what it says, just don't expect much extra. 🙂",3.0,2025-03-23,True,0
REV01343,Home & Kitchen,Vacuum Cleaner,This is exactly what I needed. The color and finish look great in person. ❤️ http://example-shop.com/review,4.0,2024-12-16,False,0
REV01549,Fashion,Leather Wallet,Absolutely loved this product! It's comfortable and fits perfectly. ❤️,5.0,2024-10-10,True,0
REV01611,Sports & Outdoors,Dumbbell Set,Works like a charm. The color and finish look great in person. 🔥,4.0,2025-06-01,True,0
REV00223,Electronics,Power Bank,Best purchase I've made this year. My family loves it just as much as I do. 😊,5.0,2025-01-26,True,8
REV00142,Home & Kitchen,Bedsheet Set,"Five stars, no doubt. Battery life lasts way longer than advertised. 🔥 even though customer service was slow to respond.",4.0,2024-05-24,True,0
REV00157,Home & Kitchen,Bedsheet Set,"I want a refund immediately. It arrived late and the box was damaged. 👎 On the plus side, it did arrive quickly.",1.0,2025-05-03,True,9
REV00696,Home & Kitchen,Bedsheet Set,"It's  fine, meets basic expectations. There are better alternatives but this works fine too.",3.0,2025-12-14,True,0
REV01375,Books & Media,Biography,Works like a charm. It's comfortable and fits perfectly. ✨,5.0,2025-11-14,True,3
REV00541,Electronics,Power Bank,<p>Fantastic value for the price. Battery life lasts way longer than advertised. 🔥,5.0,2025-05-18,True,0
REV01720,Sports & Outdoors,Yoga Mat,<br>This is exactly what I needed. The packaging was neat and nothing was damaged. ❤️,5.0,2025-01-14,True,7
REV01514,Books & Media,Kids Story Set,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. ✨",5.0,2025-05-13,True,3
REV00071,Home & Kitchen,Blender,Works like a charm. The packaging was neat and nothing was damaged. 🔥,5.0,2025-02-24,True,0
REV00109,Electronics,Bluetooth Speaker,,4.0,2024-02-12,True,4
REV00627,Electronics,Smartwatch,This broke within a few days of use. The size was completely different from what was described. 💔,2.0,2025-12-25,True,0
REV00047,Books & Media,Comic Collection,Exceeded my expectations. Customer service was quick to respond when I had a question. ❤️ although the price is a bit high for what you get.,5.0,2024-07-22,True,2
REV01750,Beauty & Personal Care,Moisturizer Cream,A decent option if you're on a budget. It's comparable to other products in this price range. 🤷,3.0,2025-06-23,True,4
REV00621,Electronics,Smartwatch,HIGHLY RECOMMEND THIS TO EVERYONE. THE PACKAGING WAS NEAT AND NOTHING WAS DAMAGED.,5.0,2025-02-26,False,4
REV01706,Electronics,Laptop Stand,Best purchase I've made this year. It's comfortable and fits perfectly.,4.0,2024-12-01,True,0
REV01326,Beauty & Personal Care,Face Serum,"</p>It's fine, meets basic expectations. It's a bit bulkier than I expected. 🤷",3.0,2025-08-15,True,1
REV00699,Electronics,Power Bank,Exceeded  my expectations. Setup was simple and took less than five minutes. 😊,4.0,2024-01-08,True,0
REV01034,Fashion,Leather Wallet,"Middle of the road experience. Packaging was standard, nothing memorable.",3.0,2024-07-09,True,0
REV00439,Electronics,Bluetooth Speaker,This is exactly what I needed. It's comfortable and fits perfectly. 👍,5.0,2024-11-18,True,3
REV00347,Sports & Outdoors,Water Bottle,Absolutely loved this product! The packaging was neat and nothing was damaged. ✨,4.0,2025-01-25,True,0
REV01283,Home & Kitchen,Air Fryer,Couldn't be happier with this purchase. It's comfortable and fits perfectly. 👍 although the price is a bit high for what you get. http://example-shop.com/review,4.0,2025-07-23,False,1
REV00799,Beauty & Personal Care,Hair Dryer,Reasonable purchase overall. It's comparable to other products in this price range. 🙂,3.0,2024-05-08,True,0
REV01466,Sports & Outdoors,Camping Tent,Exceeded my expectations. My family loves it just as much as I do. 🔥,4.0,2024-03-17,True,3
REV01341,Sports & Outdoors,Cycling Helmet,"It's exactly what was advertised, nothing more. I might consider other brands next time.",3.0,2024-02-09,True,5
REV01045,Home & Kitchen,Air Fryer,Fantastic value for the price. The packaging was neat and nothing was damaged. ✨,5.0,2024-03-31,False,1
REV01155,Home & Kitchen,Blender,One  of the worst products I've bought online. I found scratches on it right out of the packaging. 💔,2.0,2025-04-09,True,1
REV01415,Beauty & Personal Care,Sunscreen Lotion,This is exactly what I needed. Customer service was quick to respond when I had a question. ❤️,4.0,2025-01-27,True,0
REV01002,Sports & Outdoors,Cycling Helmet,Fantastic value for the price. Customer service was quick to respond when I had a question. 👍 but I wish it came in more color options.,5.0,2024-07-06,True,0
REV01000,Books & Media,Kids Story Set,I want a refund immediately. The material feels cheap and flimsy. 😢,1.0,2025-10-22,True,0
REV00476,Electronics,Wireless Earbuds,"Exceeded my expectations. Delivery was super fast, arrived a day early. ✨ www.shopreview-site.com/r/12345",4.0,2025-11-11,True,3
REV00858,Sports & Outdoors,Camping Tent,Very frustrating experience overall. It doesn't match the pictures shown online at all. http://example-shop.com/review,1.0,2025-12-17,True,15
REV00770,Beauty & Personal Care,Sunscreen Lotion,A decent option if you're on a budget. Good enough for occasional use. 🙂,3.0,2024-12-22,False,2
REV01058,Fashion,Denim Jacket,Fantastic value for the price. It looks even better than the pictures online. 👍 but the delivery experience could definitely be better.,5.0,2025-08-04,True,0
REV01491,Books & Media,Cookbook,"Exceeded my expectations. Delivery was super fast, arrived a day early. ✨",4.0,2025-09-23,False,0
REV00137,Home & Kitchen,Bedsheet Set,Exceeded my expectations. My family loves it just as much as I do. 🔥,5.0,2024-05-12,True,7
REV00051,Electronics,Bluetooth Speaker,I want a refund immediately. It stopped working after just one week. 💔,1.0,2024-12-29,True,3
REV01578,Fashion,Denim Jacket,Works like a charm. The color and finish look great in person. ❤️,4.0,2024-06-12,True,3
REV01338,Books & Media,Kids Story Set,Works like a charm. It's comfortable and fits perfectly. although the price is a bit high for what you get.,5.0,2024-02-06,True,1
REV00826,Sports & Outdoors,Camping Tent,I want a refund immediately. The stitching came apart almost immediately. 😡,1.0,2025-01-17,False,1
REV00753,Fashion,Backpack,"Fantastic value for the price. Delivery was super fast, arrived a day early. 😊",4.0,2024-06-06,True,1
REV00929,Beauty & Personal Care,Hair Dryer,Works like a charm. My family loves it just as much as I do. 👍,5.0,2025-11-23,True,1
REV01543,Sports & Outdoors,Dumbbell Set,Works like a charm. It's comfortable and fits perfectly.,5.0,2025-12-25,True,3
REV01240,Books & Media,Cookbook,One of the worst products I've bought online. The material feels cheap and flimsy. 😢,2.0,2024-05-19,True,4
REV01466,Sports & Outdoors,Camping Tent,Exceeded my expectations. My family loves it just as much as I do. 🔥,4.0,2024-03-17,True,3
REV00213,Home & Kitchen,Blender,Extremely poor quality. I found scratches on it right out of the packaging. 😡,1.0,2024-09-10,True,2
REV01144,Electronics,Bluetooth Speaker,ABSOLUTELY LOVED THIS PRODUCT! SETUP WAS SIMPLE AND TOOK LESS THAN FIVE MINUTES. 🔥,,2025-01-16,True,1
REV00803,Sports & Outdoors,Cycling Helmet,One  of the worst products I've bought online. The size was completely different from what was described. 💔,1.0,2024-04-16,True,2
REV01238,Home & Kitchen,Vacuum Cleaner,"This is exactly what I needed. Delivery was super fast, arrived a day early. ✨",4.0,2025-12-15,True,6
REV01505,Sports & Outdoors,Water Bottle,Absolutely loved this product! The build quality feels premium and sturdy. ❤️,5.0,2025-01-19,True,0
REV00052,Home & Kitchen,Electric Kettle,Couldn't be happier with this purchase. Setup was simple and took less than five minutes. ✨ but the delivery experience could definitely be better.,4.0,2025-10-23,True,2
REV00134,Beauty & Personal Care,Hair Dryer,"Fantastic value for the price. Delivery was super fast, arrived a day early.",5.0,2024-11-03,False,3
REV01306,Home & Kitchen,Blender,Exceeded  my expectations. The build quality feels premium and sturdy. 😊,5.0,2025-08-01,True,0
REV01074,Beauty & Personal Care,Lip Balm Set,"Couldn't be happier with this purchase. Delivery was super fast, arrived a day early. ✨ even though customer service was slow to respond.",4.0,2025-10-20,True,1
REV00428,Beauty & Personal Care,Sunscreen Lotion,"It's an okay product, nothing special. Good enough for occasional use. 🤷",3.0,2025-09-06,True,0
REV00218,Beauty & Personal Care,Moisturizer Cream,Not worth the money at all. It arrived late and the box was damaged. 💔,1.0,2024-01-03,False,3
REV00758,Fashion,Cotton T-Shirt,"It's an okay product, nothing special. The design is simple but functional. 🤷",3.0,2024-08-03,True,0
REV01523,Home & Kitchen,Bedsheet Set,Works like a charm. My family loves it just as much as I do. 🔥 even though customer service was slow to respond.,5.0,2024-10-02,True,3
REV00754,Fashion,Leather Wallet,Works like a charm. Setup was simple and took less than five minutes. ✨,4.0,2025-03-05,True,2
REV00167,Electronics,Power Bank,&amp;I  regret buying this. I found scratches on it right out of the packaging. 💔,1.0,2024-01-04,True,0
REV01591,Electronics,Bluetooth Speaker,This was a complete waste of time. Customer support never replied to my emails. 👎,2.0,2025-01-26,False,1
REV00756,Sports & Outdoors,Yoga Mat,Best purchase I've made this year. My family loves it just as much as I do. ✨,5.0,2024-08-11,True,3
REV01681,Beauty & Personal Care,Sunscreen Lotion,COULDN'T BE HAPPIER WITH THIS PURCHASE. THE BUILD QUALITY FEELS PREMIUM AND STURDY. 😊,5.0,2025-07-30,False,0
REV00608,Sports & Outdoors,Resistance Bands,Absolutely loved this product! My family loves it just as much as I do. ❤️,5.0,2025-06-30,False,0
REV00528,Home & Kitchen,Air Fryer,Exceeded my expectations. It looks even better than the pictures online. 👍,5.0,2025-12-08,True,1
REV00918,Electronics,USB-C Hub,"Five stars, no doubt. Battery life lasts way longer than advertised. ✨ although the price is a bit high for what you get.",5.0,2024-08-22,True,3
REV01707,Electronics,Bluetooth Speaker,"One of the worst products I've bought online. It arrived late and the box was damaged. 😡 On the plus side, it did arrive quickly.",1.0,2024-05-10,True,1
REV01635,Home & Kitchen,Air Fryer,"Fantastic value for the price. Delivery was super fast, arrived a day early. 👍",4.0,2024-02-27,True,3
REV01522,Fashion,Cotton T-Shirt,Really  disappointed with this purchase. There was a strange smell straight out of the box.,2.0,2024-03-20,True,1
REV01271,Sports & Outdoors,Water Bottle,"Five stars, no doubt. My family loves it just as much as I do. 👍",5.0,2025-03-31,True,4
REV00434,Books & Media,Biography,I want a refund immediately. Customer support never replied to my emails.,2.0,2024-07-31,True,0
REV00944,Fashion,Backpack,Very frustrating experience overall. The material feels cheap and flimsy. 😢,1.0,2025-01-10,True,0
REV01503,Home & Kitchen,Blender,Exceeded my expectations. It's comfortable and fits perfectly. ✨,4.0,2025-05-30,True,5
REV01299,Sports & Outdoors,Water Bottle,"It's  exactly what was advertised, nothing more. The design is simple but functional. 🙂",3.0,2024-02-07,True,2
REV00254,Books & Media,Biography,"Couldn't be happier with this purchase. Delivery was super fast, arrived a day early. ❤️",5.0,2025-10-26,True,5
REV00549,Beauty & Personal Care,Moisturizer Cream,"It's fine, meets basic expectations. It's comparable to other products in this price range. 🙂",3.0,2024-07-23,True,0
REV00977,Beauty & Personal Care,Hair Dryer,This is exactly what I needed. It's comfortable and fits perfectly. 👍,4.0,2024-10-23,True,3
REV00630,Books & Media,Biography,Not worth the money at all. There was a strange smell straight out of the box. 💔   ,1.0,2025-04-18,True,2
REV01570,Fashion,Denim Jacket,Absolutely  loved this product! It looks even better than the pictures online. 😊 even though customer service was slow to respond.,4.0,2024-08-16,True,0
REV01319,Electronics,Power Bank,works  like a charm. the build quality feels premium and sturdy. ✨,5.0,2024-06-30,False,4
REV00553,Books & Media,Kids Story Set,</p>I'm so impressed with the quality. The packaging was neat and nothing was damaged. 👍 but the delivery experience could definitely be better.,5.0,2024-02-07,True,0
REV01468,Home & Kitchen,Blender,"Couldn't  be happier with this purchase. Delivery was super fast, arrived a day early. 🔥 even though customer service was slow to respond.",5.0,2025-11-28,True,0
REV00773,Beauty & Personal Care,Moisturizer Cream,This is exactly what I needed. The color and finish look great in person.,5.0,2025-06-30,True,1
REV00887,Sports & Outdoors,Yoga Mat,Exceeded  my expectations. Setup was simple and took less than five minutes. ✨   ,5.0,2024-02-07,False,9
