review_id,product_category,product_name,review_text,rating,review_date,verified_purchase,helpful_votes,clean_tokens,vader_compound,vader_pos,vader_neu,vader_neg,sentiment_label,dominant_emotion
REV00600,Home & Kitchen,Electric Kettle,"Best purchase I've made this year. Delivery was super fast, arrived a day early. 👍",5,2025-06-01,True,0,best purchase ive made year delivery super fast arrived day early,0.8442,0.367,0.633,0.0,Positive,None Detected
REV00140,Sports & Outdoors,Camping Tent,Couldn't be happier with this purchase. The build quality feels premium and sturdy. 😊 although it took longer to arrive than promised.,5,2025-10-04,True,4,couldnt happier purchase build quality feel premium sturdy although took longer arrive promised,0.6931,0.255,0.661,0.083,Positive,Anticipation
REV00579,Electronics,USB-C Hub,THIS WAS A COMPLETE WASTE OF TIME. THERE WAS A STRANGE SMELL STRAIGHT OUT OF THE BOX. 😡,2,2025-02-12,True,6,complete waste time strange smell straight box,-0.5319,0.107,0.648,0.246,Negative,None Detected
REV01746,Fashion,Leather Wallet,Not worth the money at all. It stopped working after just one week. 😢,1,2024-05-08,True,2,not worth money stopped working one week,-0.6874,0.0,0.643,0.357,Negative,Anger
REV00558,Home & Kitchen,Bedsheet Set,Exceeded my expectations. Battery life lasts way longer than advertised. ✨,4,2025-01-11,False,2,exceeded expectation battery life last way longer advertised,0.3182,0.187,0.813,0.0,Positive,Anticipation
REV00316,Beauty & Personal Care,Hair Dryer,"Five stars, no doubt. The color and finish look great in person. ✨",5,2024-03-17,True,6,five star doubt color finish look great person,0.8181,0.46,0.54,0.0,Positive,Trust
REV00576,Books & Media,Kids Story Set,Highly recommend this to everyone. The color and finish look great in person.,5,2024-03-19,True,5,highly recommend everyone color finish look great person,0.7841,0.385,0.615,0.0,Positive,Trust
REV01244,Electronics,Bluetooth Speaker,"Five stars, no doubt. Battery life lasts way longer than advertised. 😊",4,2025-07-17,True,5,five star doubt battery life last way longer advertised,0.797,0.384,0.616,0.0,Positive,Trust
REV01204,Electronics,Power Bank,Exceeded my expectations. Battery life lasts way longer than advertised. ❤️,4,2024-10-03,True,0,exceeded expectation battery life last way longer advertised,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV01418,Books & Media,Kids Story Set,I'm so impressed with the quality. The color and finish look great in person. 😊,4,2025-03-31,True,7,impressed quality color finish look great person,0.9259,0.474,0.526,0.0,Positive,None Detected
REV00150,Sports & Outdoors,Cycling Helmet,Highly recommend this to everyone. The color and finish look great in person. ✨,4,2024-05-31,False,0,highly recommend everyone color finish look great person,0.8479,0.455,0.545,0.0,Positive,Trust
REV00587,Books & Media,Self-Help Book,This is exactly what I needed. It's comfortable and fits perfectly. 😊 although the price is a bit high for what you get.,5,2025-05-13,True,0,exactly needed comfortable fit perfectly although price bit high get,0.926,0.37,0.63,0.0,Positive,None Detected
REV00400,Home & Kitchen,Electric Kettle,Exceeded my expectations. The color and finish look great in person. 🔥,5,2025-12-07,True,7,exceeded expectation color finish look great person,0.4019,0.248,0.606,0.145,Positive,Anticipation
REV00632,Books & Media,Fiction Novel,I'm so impressed with the quality. My family loves it just as much as I do. ❤️ but I wish it came in more color options.,4,2025-02-09,True,1,impressed quality family love much wish came color option,0.7962,0.252,0.748,0.0,Positive,Joy
REV00418,Fashion,Backpack,Absolutely loved this product! Battery life lasts way longer than advertised. 😊,4,2025-01-31,True,1,absolutely loved product battery life last way longer advertised,0.8881,0.446,0.554,0.0,Positive,None Detected
REV00005,Home & Kitchen,Air Fryer,"I'm so impressed with the quality. Delivery was super fast, arrived a day early. 🔥",4,2025-11-30,True,3,impressed quality delivery super fast arrived day early,0.7089,0.336,0.553,0.111,Positive,None Detected
REV01704,Home & Kitchen,Air Fryer,Best purchase I've made this year. The packaging was neat and nothing was damaged. 👍 even though customer service was slow to respond.,5,2024-08-20,True,18,best purchase ive made year packaging neat nothing damaged even though customer service slow respond,0.8627,0.314,0.686,0.0,Positive,None Detected
REV00617,Books & Media,Biography,"Not bad, but not great either. Shipping took the standard amount of time. 🙂",3,2024-05-06,True,0,not bad not great either shipping took standard amount time,0.0115,0.239,0.567,0.194,Neutral,Anger
REV00910,Electronics,Power Bank,Exceeded my expectations. It's comfortable and fits perfectly. ❤️,4,2024-09-08,True,1,exceeded expectation comfortable fit perfectly,0.8176,0.484,0.516,0.0,Positive,Anticipation
REV01367,Fashion,Running Shoes,I want a refund immediately. It stopped working after just one week. 👎,1,2024-01-30,True,9,want refund immediately stopped working one week,-0.1531,0.086,0.789,0.125,Negative,Anticipation
REV01172,Home & Kitchen,Vacuum Cleaner,Really disappointed with this purchase. The instructions were confusing and unclear. 😡,1,2024-08-18,True,1,really disappointed purchase instruction confusing unclear,-0.7425,0.0,0.578,0.422,Negative,Anger
REV01684,Electronics,Laptop Stand,Best purchase I've made this year. It's comfortable and fits perfectly. 😊,4,2024-08-18,True,0,best purchase ive made year comfortable fit perfectly,0.9565,0.617,0.383,0.0,Positive,None Detected
REV01264,Sports & Outdoors,Cycling Helmet,"Does the job but nothing extraordinary. Packaging was standard, nothing memorable.",3,2024-05-01,True,9,job nothing extraordinary packaging standard nothing memorable,0.0,0.0,1.0,0.0,Neutral,Joy
REV00016,Fashion,Leather Wallet,This is exactly what I needed. It looks even better than the pictures online. 😊 but I wish it came in more color options.,4,2025-10-23,True,0,exactly needed look even better picture online wish came color option,0.8176,0.284,0.716,0.0,Positive,None Detected
REV01379,Books & Media,Kids Story Set,I'm so impressed with the quality. The build quality feels premium and sturdy. ✨,4,2025-05-26,True,6,impressed quality build quality feel premium sturdy,0.6901,0.322,0.678,0.0,Positive,None Detected
REV01595,Beauty & Personal Care,Hair Dryer,Highly recommend this to everyone. Customer service was quick to respond when I had a question. 🔥,5,2025-03-04,True,4,highly recommend everyone customer service quick respond question,0.101,0.138,0.743,0.119,Positive,Trust
REV00732,Beauty & Personal Care,Moisturizer Cream,"Very frustrating experience overall. Customer support never replied to my emails. 😢 On the plus side, it did arrive quickly.",2,2024-02-24,False,3,frustrating experience overall customer support never replied email plus side arrive quickly,-0.5563,0.1,0.667,0.233,Negative,Anticipation
REV00442,Fashion,Running Shoes,This broke within a few days of use. Customer support never replied to my emails. 👎,1,2025-12-04,False,0,broke within day use customer support never replied email,-0.0258,0.132,0.732,0.137,Neutral,Fear
REV00247,Fashion,Cotton T-Shirt,"Not bad, but not great either. I might consider other brands next time. 🙂",3,2024-03-30,True,0,not bad not great either might consider brand next time,0.0115,0.239,0.567,0.194,Neutral,Anger
REV01286,Books & Media,Comic Collection,Highly recommend this to everyone. The packaging was neat and nothing was damaged. ❤️,4,2025-06-25,True,7,highly recommend everyone packaging neat nothing damaged,0.8019,0.406,0.594,0.0,Positive,Trust
REV00087,Home & Kitchen,Non-Stick Pan Set,Fantastic value for the price. My family loves it just as much as I do. 👍,4,2025-02-11,True,0,fantastic value price family love much,0.8658,0.409,0.591,0.0,Positive,Joy
REV01718,Electronics,Wireless Earbuds,Exceeded my expectations. The color and finish look great in person. 🔥,5,2025-03-15,True,1,exceeded expectation color finish look great person,0.4019,0.248,0.606,0.145,Positive,Anticipation
REV01352,Sports & Outdoors,Yoga Mat,Would not recommend this to anyone. The instructions were confusing and unclear. 💔,2,2024-10-17,False,0,would not recommend anyone instruction confusing unclear,-0.4423,0.188,0.403,0.408,Negative,Trust
REV01007,Books & Media,Fiction Novel,I'm so impressed with the quality. Setup was simple and took less than five minutes. ❤️,5,2024-08-08,True,0,impressed quality setup simple took less five minute,0.5256,0.175,0.825,0.0,Positive,None Detected
REV00118,Beauty & Personal Care,Electric Trimmer,"It works as described, no complaints, no excitement. It does what it says, just don't expect much extra.",3,2024-02-23,True,3,work described complaint excitement say dont expect much extra,0.1326,0.19,0.689,0.121,Positive,Anticipation
REV00177,Home & Kitchen,Air Fryer,Works like a charm. It looks even better than the pictures online. 😊,5,2025-11-18,True,0,work like charm look even better picture online,0.9201,0.54,0.46,0.0,Positive,None Detected
REV00850,Electronics,Bluetooth Speaker,Highly recommend this to everyone. The color and finish look great in person. ❤️,5,2024-09-13,True,2,highly recommend everyone color finish look great person,0.7841,0.347,0.653,0.0,Positive,Trust
REV00209,Fashion,Cotton T-Shirt,Does the job but nothing extraordinary. It's a bit bulkier than I expected. 🤷,3,2025-08-11,True,1,job nothing extraordinary bit bulkier expected,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV00726,Fashion,Sunglasses,"Five stars, no doubt. Setup was simple and took less than five minutes. 👍",4,2025-04-12,True,2,five star doubt setup simple took less five minute,0.2755,0.131,0.869,0.0,Positive,Trust
REV01356,Books & Media,Cookbook,Works like a charm. Battery life lasts way longer than advertised.,5,2024-11-20,True,2,work like charm battery life last way longer advertised,0.6369,0.366,0.634,0.0,Positive,None Detected
REV01488,Fashion,Cotton T-Shirt,couldn't be happier with this purchase. setup was simple and took less than five minutes. 🔥,4,2024-07-14,False,0,couldnt happier purchase setup simple took less five minute,-0.6341,0.0,0.73,0.27,Negative,None Detected
REV01320,Sports & Outdoors,Dumbbell Set,Couldn't be happier with this purchase. My family loves it just as much as I do.,5,2025-05-22,True,3,couldnt happier purchase family love much,0.2321,0.181,0.684,0.136,Positive,Joy
REV00601,Home & Kitchen,Electric Kettle,This is exactly what I needed. Battery life lasts way longer than advertised.,5,2025-02-27,False,0,exactly needed battery life last way longer advertised,0.0,0.0,1.0,0.0,Neutral,None Detected
REV01754,Sports & Outdoors,Dumbbell Set,Best purchase I've made this year. The build quality feels premium and sturdy. 👍,5,2024-09-29,True,1,best purchase ive made year build quality feel premium sturdy,0.6369,0.231,0.769,0.0,Positive,None Detected
REV00719,Beauty & Personal Care,Lip Balm Set,Does the job but nothing extraordinary. I might consider other brands next time.,3,2024-05-04,True,3,job nothing extraordinary might consider brand next time,0.0,0.0,1.0,0.0,Neutral,Anticipation
REV01012,Fashion,Denim Jacket,"Five stars, no doubt. My family loves it just as much as I do. 👍",5,2024-01-24,True,0,five star doubt family love much,0.7013,0.293,0.707,0.0,Positive,Joy
REV00119,Home & Kitchen,Blender,"Does the job but nothing extraordinary. It does what it says, just don't expect much extra. 🙂",3,2025-03-23,True,0,job nothing extraordinary say dont expect much extra,0.5515,0.165,0.835,0.0,Positive,Anticipation
REV01343,Home & Kitchen,Vacuum Cleaner,This is exactly what I needed. The color and finish look great in person. ❤️,4,2024-12-16,False,0,exactly needed color finish look great person,0.6249,0.215,0.785,0.0,Positive,None Detected
REV01549,Fashion,Leather Wallet,Absolutely loved this product! It's comfortable and fits perfectly. ❤️,5,2024-10-10,True,0,absolutely loved product comfortable fit perfectly,0.9183,0.6,0.4,0.0,Positive,None Detected
REV01611,Sports & Outdoors,Dumbbell Set,Works like a charm. The color and finish look great in person. 🔥,4,2025-06-01,True,0,work like charm color finish look great person,0.7845,0.449,0.435,0.116,Positive,None Detected
REV00223,Electronics,Power Bank,Best purchase I've made this year. My family loves it just as much as I do. 😊,5,2025-01-26,True,8,best purchase ive made year family love much,0.9313,0.45,0.55,0.0,Positive,Joy
REV00142,Home & Kitchen,Bedsheet Set,"Five stars, no doubt. Battery life lasts way longer than advertised. 🔥 even though customer service was slow to respond.",4,2024-05-24,True,0,five star doubt battery life last way longer advertised even though customer service slow respond,-0.0747,0.094,0.8,0.107,Negative,Trust
REV00157,Home & Kitchen,Bedsheet Set,"I want a refund immediately. It arrived late and the box was damaged. 👎 On the plus side, it did arrive quickly.",1,2025-05-03,True,9,want refund immediately arrived late box damaged plus side arrive quickly,-0.3818,0.052,0.833,0.115,Negative,Anticipation
REV00696,Home & Kitchen,Bedsheet Set,"It's fine, meets basic expectations. There are better alternatives but this works fine too.",3,2025-12-14,True,0,fine meet basic expectation better alternative work fine,0.5499,0.335,0.665,0.0,Positive,Anticipation
REV01375,Books & Media,Biography,Works like a charm. It's comfortable and fits perfectly. ✨,5,2025-11-14,True,3,work like charm comfortable fit perfectly,0.9325,0.75,0.25,0.0,Positive,None Detected
REV00541,Electronics,Power Bank,Fantastic value for the price. Battery life lasts way longer than advertised. 🔥,5,2025-05-18,True,0,fantastic value price battery life last way longer advertised,0.5574,0.326,0.543,0.13,Positive,None Detected
REV01720,Sports & Outdoors,Yoga Mat,This is exactly what I needed. The packaging was neat and nothing was damaged. ❤️,5,2025-01-14,True,7,exactly needed packaging neat nothing damaged,0.6604,0.279,0.721,0.0,Positive,None Detected
REV01514,Books & Media,Kids Story Set,"Highly recommend this to everyone. Delivery was super fast, arrived a day early. ✨",5,2025-05-13,True,3,highly recommend everyone delivery super fast arrived day early,0.8399,0.45,0.55,0.0,Positive,Trust
REV00071,Home & Kitchen,Blender,Works like a charm. The packaging was neat and nothing was damaged. 🔥,5,2025-02-24,True,0,work like charm packaging neat nothing damaged,0.892,0.612,0.388,0.0,Positive,None Detected
REV00627,Electronics,Smartwatch,This broke within a few days of use. The size was completely different from what was described. 💔,2,2025-12-25,True,0,broke within day use size completely different described,-0.1779,0.161,0.613,0.226,Negative,Fear
REV00047,Books & Media,Comic Collection,Exceeded my expectations. Customer service was quick to respond when I had a question. ❤️ although the price is a bit high for what you get.,5,2024-07-22,True,2,exceeded expectation customer service quick respond question although price bit high get,0.0,0.0,1.0,0.0,Neutral,Anticipation
